City,State,Pop2010,PopDensity2010,PopChange10_12,LogIncome,SinglePercent,WorkFulltime,CollegeDegree,NAI,ParkPercent14,ParkSpendAdj14,ParkAccess14,WBI_Total,WBI_Purpose,WBI_Social,WBI_Financial,WBI_Physical,WBI_Community
Albuquerque,NM,546537,4.548895022,1.6,10.7787271,0.544,0.428,0.33,3.77,0.227828863,68,0.813,62.17,6.13,6.03,5.8,6.31,6.03
Atlanta - Sandy Springs - Marietta,GA,420279,4.931925929,5.6,10.75002083,0.521,0.478,0.468,-0.24,0.051844724,88,0.64,61.47,6.04,6.12,5.78,6.14,5.97
Austin - Roundrock,TX,790637,4.146929549,6.6,10.89573883,0.523,0.488,0.456,3.24,0.143703844,70,0.495,63.36,6.17,6.14,5.96,6.23,6.47
Baltimore - Towson,MD,621342,11.99464881,0.1,10.63067378,0.543,0.472,0.268,-0.37,0.094688195,73,0.847,60.5,5.87,6.18,5.99,6.05,5.73
Louisville - Jefferson County,"KY, IN",597336,2.869600307,1.3,10.69555204,0.515,0.454,0.269,0.32,0.081019408,76,0.318,60.25,5.9,5.89,5.73,5.93,6.14
Louisville - Jefferson County,"KY, IN",597336,2.869600307,1.3,10.69555204,0.515,0.454,0.269,0.32,0.081019408,76,0.318,60.25,5.9,5.89,5.73,5.93,6.14
New York - North New Jersey - Long Island,"NY, NJ, PA",8175136,37.43742673,2,10.8639674,0.545,0.446,0.345,-0.31,0.176793303,192,0.964,61.34,5.9,6.08,5.86,6.23,5.94
New York - North New Jersey - Long Island,"NY, NJ, PA",8175136,37.43742673,2,10.8639674,0.545,0.446,0.345,-0.31,0.176793303,192,0.964,61.34,5.9,6.08,5.86,6.23,5.94
Boston - Cambridge - Quincy,MA,617594,19.98737831,3.1,10.889323,0.527,0.474,0.439,0.83,0.15909797,105,0.973,62.34,5.93,6.15,6.09,6.24,6.24
Charlotte - Gastonia - Concord,"NC, SC",919628,2.7432584,5.4,10.86618466,0.503,0.486,0.398,0.82,0.061068156,51,0.265,62.16,6.14,6.12,5.83,6.17,6.16
Chicago - Naperville - Joilat,"IL, IN, WI",2695598,18.5031493,0.7,10.76363112,0.529,0.466,0.342,-1.04,0.085699655,165,0.905,61.13,5.98,6.01,5.96,6.14,5.87
Cleveland - Elyria - Mentor,OH,396814,7.979689511,-1.5,10.17416333,0.542,0.431,0.149,-0.63,0.061695624,112,0.764,60.34,5.85,5.92,6.02,6.06,5.79
Colorado Springs,CO,416433,3.344692929,3.7,10.89603537,0.463,0.477,0.363,5.15,0.089610427,40,0.677,62.32,6.07,6.09,5.75,6.21,6.24
Columbus,OH,788577,5.673672987,2.7,10.69357994,0.522,0.512,0.331,-2.43,0.078142987,81,0.491,59.64,5.79,5.89,5.77,5.9,5.95
Dallas - Fort Worth - Arlington,TX,1197833,5.496341074,3.6,10.66536757,0.493,0.496,0.294,0.64,0.107055937,63,0.543,62.45,6.19,6.11,5.99,6.13,6.25
Denver - Aurora,CO,600024,6.127696078,5.7,10.82601877,0.501,0.514,0.429,2.88,0.060253268,100,0.784,62.4,6.03,6.03,6.05,6.21,6.27
Detroit - Warren - Livonia,MI,713777,8.038029279,-1.7,10.17827434,0.535,0.419,0.127,-1.73,0.066677928,11,0.768,59.72,5.84,5.97,5.8,5.93,5.72
El Paso,TX,649138,3.973821207,3.6,10.63118108,0.522,0.404,0.227,4.46,0.176053665,48,0.486,63.58,6.5,6.09,5.87,6.3,6.27
Fresno,CA,496009,6.922240644,2,10.64578198,0.548,0.406,0.203,6.03,0.021952595,32,0.506,61.61,6.27,5.96,5.76,6.27,5.76
Houston - Sugar Land - Baytown,TX,2097217,5.461593631,3,10.71463997,0.503,0.495,999,-0.04,0.128900586,39,0.457,62.81,6.3,6.14,6.09,6.18,6.21
Indianapolis - Carmel,IN,820442,3.546857275,1.8,10.64451973,0.508,0.471,0.273,-2.51,0.04843175,27,0.317,59.36,5.9,5.88,5.81,5.8,5.88
Jacksonville,FL,821784,1.718925703,1.8,10.76968427,0.524,0.46,0.255,2.31,0.136184321,36,0.308,61.45,6.01,6.11,5.89,6.14,5.95
Kansas City,"MO, KS",459787,2.281051556,1,10.72051028,0.491,0.484,0.313,-1.49,0.086943364,125,0.645,60.69,5.93,6.09,5.92,5.97,6.05
Las Vegas - Paradise,NV,583756,6.715643867,2.2,10.84238091,0.55,0.427,0.214,4.86,0.035340892,126,0.462,60.65,5.89,5.96,5.8,6.13,5.81
Los Angeles - Long Beach - Santa Ana,CA,3792627,12.64424795,1.7,10.80966734,0.558,0.413,0.311,10.33,0.120397214,52,0.525,62.82,6.15,6.11,5.95,6.36,6.13
Louisville - Jefferson County,"KY, IN",597336,2.869600307,1.3,10.69555204,0.515,0.454,0.269,0.32,0.081019408,76,0.318,60.25,5.9,5.89,5.73,5.93,6.14
Memphis,"TN, MS, AR",646889,3.208163723,1.3,10.51629198,0.577,0.419,0.237,-0.44,0.046568511,49,0.396,60.35,6.08,6.18,5.57,5.99,5.76
Miami - Fort Lauderdale - Pompano,FL,399508,17.40259967,3.6,10.32137518,0.567,0.408,0.231,5.48,0.051400892,73,0.744,61.97,6.09,6.18,5.64,6.28,6.1
Milwaukee - Waukesha - West Allis,WI,947735,6.134365938,0.7,10.47635797,0.533,0.476,0.221,-0.4,0.106213848,82,0.872,61.87,6.04,6.17,6.02,6.2,6.03
Minneapolis - St. Paul - Bloomington,MN,382578,11.07611868,2.7,10.81747564,0.487,0.544,0.457,-2.15,0.146348666,213,0.94,62.63,5.97,6.08,6.25,6.23,6.3
Nashville - Davidson - Murfreesboro - Franklin,TN,603527,1.984742991,3.5,10.75119961,,0.481,0.353,0.33,0.096907688,65,0.36,61.63,6,5.98,5.85,6.12,6.2
New York - North New Jersey - Long Island,"NY, NJ, PA",8175136,37.43742673,2,10.8639674,0.545,0.446,0.345,-0.31,0.176793303,192,0.964,61.34,5.9,6.08,5.86,6.23,5.94
Oklahoma City,OK,580003,1.494458679,3.3,10.73256325,0.5,0.479,0.281,0.24,0.067389431,51,0.419,60.78,5.94,6.1,5.98,5.89,6.17
Omaha - Council Bluffs,"NE, IA",409853,5.038911893,2.9,10.78003904,0.487,0.541,0.331,-1.92,0.127751495,78,0.759,62.56,6.04,6.11,6.25,6.03,6.4
Philadelphia - Camden - Wilmington,"PA, NJ, DE, MD",1526006,17.78064411,1.4,10.52384896,0.546,0.452,0.239,-0.46,0.127342002,83,0.913,60.77,5.91,6.19,5.94,6.08,5.83
Phoenix - Mesa - Scottsdale,AZ,1447552,4.377395007,2.8,10.76085596,0.52,0.444,0.263,4.87,0.14894402,99,0.455,61.89,6.05,6.13,5.92,6.17,6.08
Raleigh - Cary,NC,403947,4.416845259,4.8,10.9050014,0.478,0.493,0.475,0.23,0.140821816,183,0.538,63.61,6.2,6.29,6.17,6.22,6.47
Sacramento - Arden - Arcade - Roseville,CA,466488,7.443704044,1.9,10.81482604,0.528,0.389,0.293,3.65,0.08106107,181,0.766,61.84,5.96,6.17,5.94,6.18,6.05
San Antonio,TX,1327605,4.50042916,4.2,10.73033486,0.513,0.43,0.246,2.63,0.08360136,58,0.332,62.53,6.17,6.08,5.87,6.12,6.38
San Diego - Carlsbad - San Marcos,CA,1301621,6.254137005,2.8,11.0675442,0.531,0.425,0.417,9.78,0.232883084,85,0.756,62.4,6.02,6.09,6.05,6.26,6.3
San Francisco - Oakland - Fremont,CA,805235,26.84403003,2.6,11.23326447,0.528,0.444,0.524,10.52,0.189520215,171,0.982,62.82,6,6.16,6.2,6.31,6.18
San Jose - Sunnyvale - Santa Clara,CA,952562,8.431304169,3.2,11.31238698,0.471,0.478,0.374,5.95,0.145717088,66,0.692,63.17,5.98,6.11,6.45,6.34,6.19
Seattle - Tacoma - Bellevue,WA,608660,11.32989338,4.3,11.08639503,0.504,0.493,0.574,4.53,0.103235942,215,0.922,61.14,5.86,6.04,5.97,6.08,6.05
Tucson,AZ,520116,3.584673151,0.8,10.51953768,0.545,0.402,0.247,4.04,0.023963709,108,0.518,62.22,6.1,6.23,5.95,6.24,6.05
Tulsa,OK,391890,3.112214104,0.5,10.62718819,0.489,0.42,0.3,-0.3,0.057901842,45,0.545,61.34,6.21,6.19,5.86,5.86,6.28
Virginia Beach - Norfolk - Newport News,"VA, NC",437994,2.748235583,2.1,11.08550612,0.524,0.489,0.329,1.18,0.156337844,149,0.626,,5.9,6.11,5.89,6.06,5.76
Washington DC - Arlington - Alexandria,"DC, VA",601723,15.40036343,5.1,11.09483094,0.518,0.536,0.524,-0.76,0.217879812,250,0.962,63.12,6.09,6.22,6.31,6.31,6.16
Wichita,KS,382373,3.750755305,0.8,10.73663578,0.489,0.48,0.282,-0.7,0.04540657,52,0.499,61.7,6.07,6.13,6.13,6.01,6.12
